username,repo_name,stars,repo_url
supabase,supabase,72400,https://github.com/supabase/supabase
netdata,netdata,71300,https://github.com/netdata/netdata
nocodb,nocodb,48600,https://github.com/nocodb/nocodb
gogs,gogs,44900,https://github.com/gogs/gogs
discourse,discourse,42000,https://github.com/discourse/discourse
dbeaver,dbeaver,39500,https://github.com/dbeaver/dbeaver
prisma,prisma,39200,https://github.com/prisma/prisma
metabase,metabase,38300,https://github.com/metabase/metabase
QuivrHQ,quivr,36200,https://github.com/QuivrHQ/quivr
typeorm,typeorm,34100,https://github.com/typeorm/typeorm
coollabsio,coolify,32500,https://github.com/coollabsio/coolify
calcom,cal.com,31800,https://github.com/calcom/cal.com
maybe-finance,maybe,30600,https://github.com/maybe-finance/maybe
makeplane,plane,29600,https://github.com/makeplane/plane
sequelize,sequelize,29500,https://github.com/sequelize/sequelize
directus,directus,27400,https://github.com/directus/directus
fastapi,full-stack-fastapi-template,26700,https://github.com/fastapi/full-stack-fastapi-template
getredash,redash,26100,https://github.com/getredash/redash
drizzle-team,drizzle-orm,23700,https://github.com/drizzle-team/drizzle-orm
PostgREST,postgrest,23300,https://github.com/PostgREST/postgrest
