username,repo_name,stars,repo_url
asdf-vm,asdf,21800,https://github.com/asdf-vm/asdf
phoenixframework,phoenix,21300,https://github.com/phoenixframework/phoenix
plausible,analytics,20000,https://github.com/plausible/analytics
lk-geimfari,awesomo,9400,https://github.com/lk-geimfari/awesomo
benawad,dogehouse,9100,https://github.com/benawad/dogehouse
oldratlee,translations,6800,https://github.com/oldratlee/translations
firezone,firezone,6800,https://github.com/firezone/firezone
supabase,realtime,6700,https://github.com/supabase/realtime
electric-sql,electric,6200,https://github.com/electric-sql/electric
papercups-io,papercups,5700,https://github.com/papercups-io/papercups
rrrene,credo,4900,https://github.com/rrrene/credo
livebook-dev,livebook,4900,https://github.com/livebook-dev/livebook
dependabot,dependabot-core,4700,https://github.com/dependabot/dependabot-core
christopheradams,elixir_style_guide,4400,https://github.com/christopheradams/elixir_style_guide
rusterlium,rustler,4300,https://github.com/rusterlium/rustler
absinthe-graphql,absinthe,4300,https://github.com/absinthe-graphql/absinthe
extism,extism,4200,https://github.com/extism/extism
ergo-services,ergo,3600,https://github.com/ergo-services/ergo
blockscout,blockscout,3500,https://github.com/blockscout/blockscout
elixirschool,elixirschool,3500,https://github.com/elixirschool/elixirschool
