username,repo_name,stars,repo_url
hashicorp,vagrant,26200,https://github.com/hashicorp/vagrant
geerlingguy,ansible-for-devops,8400,https://github.com/geerlingguy/ansible-for-devops
Orange-Cyberdefense,GOAD,5200,https://github.com/Orange-Cyberdefense/GOAD
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
ChristianLempa,boilerplates,4600,https://github.com/ChristianLempa/boilerplates
Varying-Vagrant-Vagrants,VVV,4500,https://github.com/Varying-Vagrant-Vagrants/VVV
chef,bento,4200,https://github.com/chef/bento
ServiceStack,redis-windows,2700,https://github.com/ServiceStack/redis-windows
roots,trellis,2500,https://github.com/roots/trellis
vagrant-libvirt,vagrant-libvirt,2300,https://github.com/vagrant-libvirt/vagrant-libvirt
Artemmkin,infrastructure-as-code-tutorial,2300,https://github.com/Artemmkin/infrastructure-as-code-tutorial
leucos,ansible-tuto,2200,https://github.com/leucos/ansible-tuto
ianmiell,shutit,2200,https://github.com/ianmiell/shutit
geerlingguy,ansible-vagrant-examples,2100,https://github.com/geerlingguy/ansible-vagrant-examples
rootsongjc,kubernetes-vagrant-centos-cluster,1900,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
magma,magma,1700,https://github.com/magma/magma
scottslowe,learning-tools,1500,https://github.com/scottslowe/learning-tools
geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
StefanScherer,packer-windows,1300,https://github.com/StefanScherer/packer-windows
timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
