username,repo_name,stars,repo_url
bregman-arie,devops-exercises,66200,https://github.com/bregman-arie/devops-exercises
ansible,ansible,62500,https://github.com/ansible/ansible
trailofbits,algo,28800,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,26900,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23200,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,16000,https://github.com/kubernetes-sigs/kubespray
ansible,awx,14000,https://github.com/ansible/awx
easzlab,kubeasz,10400,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,10400,https://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,9100,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8400,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,8100,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,8100,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5900,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5500,https://github.com/rundeck/rundeck
Orange-Cyberdefense,GOAD,5200,https://github.com/Orange-Cyberdefense/GOAD
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
ChristianLempa,boilerplates,4600,https://github.com/ChristianLempa/boilerplates
dev-sec,ansible-collection-hardening,4000,https://github.com/dev-sec/ansible-collection-hardening
