username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,153000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,79400,https://github.com/nvm-sh/nvm
junegunn,fzf,64400,https://github.com/junegunn/fzf
starship,starship,44600,https://github.com/starship/starship
google,zx,42900,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,39900,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,38800,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36500,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,36200,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32900,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,31700,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30200,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24500,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,22900,https://github.com/kingToolbox/WindTerm
ajeetdsouza,zoxide,22200,https://github.com/ajeetdsouza/zoxide
dylanaraps,neofetch,22000,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21800,https://github.com/asdf-vm/asdf
warpdotdev,Warp,21100,https://github.com/warpdotdev/Warp
atuinsh,atuin,20400,https://github.com/atuinsh/atuin
Nyr,openvpn-install,19100,https://github.com/Nyr/openvpn-install
