username,repo_name,stars,repo_url
bitcoin,bitcoin,78700,https://github.com/bitcoin/bitcoin
ccxt,ccxt,32700,https://github.com/ccxt/ccxt
freqtrade,freqtrade,28300,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23500,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18300,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,13000,https://github.com/solana-labs/solana
bbfamily,abu,11900,https://github.com/bbfamily/abu
askmike,gekko,10100,https://github.com/askmike/gekko
hummingbot,hummingbot,8000,https://github.com/hummingbot/hummingbot
dvf,blockchain,7800,https://github.com/dvf/blockchain
lightningnetwork,lnd,7700,https://github.com/lightningnetwork/lnd
spesmilo,electrum,7400,https://github.com/spesmilo/electrum
getumbrel,umbrel,7300,https://github.com/getumbrel/umbrel
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
UFund-Me,Qbot,7100,https://github.com/UFund-Me/Qbot
yeasy,blockchain_guide,6800,https://github.com/yeasy/blockchain_guide
btcpayserver,btcpayserver,6300,https://github.com/btcpayserver/btcpayserver
btcsuite,btcd,6200,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,5700,https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,5600,https://github.com/jesse-ai/jesse
