username,repo_name,stars,repo_url
ccxt,ccxt,32700,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,26000,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25300,https://github.com/discordjs/discord.js
wechaty,wechaty,20100,https://github.com/wechaty/wechaty
RasaHQ,rasa,18700,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,16800,https://github.com/InstaPy/InstaPy
hubotio,hubot,16600,https://github.com/hubotio/hubot
feder-cr,Auto_Jobs_Applier_AIHawk,15500,https://github.com/feder-cr/Auto_Jobs_Applier_AIHawk
leon-ai,leon,15300,https://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,15200,https://github.com/pedroslopez/whatsapp-web.js
Rapptz,discord.py,14800,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14200,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,13100,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11500,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10400,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10000,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8400,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8200,https://github.com/telegraf/telegraf
hummingbot,hummingbot,8000,https://github.com/hummingbot/hummingbot
