username,repo_name,stars,repo_url
electron,electron,114000,https://github.com/electron/electron
puppeteer,puppeteer,88400,https://github.com/puppeteer/puppeteer
microsoft,playwright,66100,https://github.com/microsoft/playwright
FiloSottile,mkcert,48700,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,31700,https://github.com/jaywcjlove/linux-command
ovity,octotree,22800,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
feder-cr,Auto_Jobs_Applier_AIHawk,15500,https://github.com/feder-cr/Auto_Jobs_Applier_AIHawk
GoogleChrome,chrome-extensions-samples,15300,https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,15300,https://github.com/gildas-lormeau/SingleFile
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,12000,https://github.com/casesandberg/react-color
crimx,ext-saladict,12000,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11900,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10900,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,10700,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,10000,https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,9700,https://github.com/ultrafunkamsterdam/undetected-chromedriver
