username,repo_name,stars,repo_url
realm,SwiftLint,18600,https://github.com/realm/SwiftLint
facebook,infer,14900,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,13300,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,11900,https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,9800,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9400,https://github.com/super-linter/super-linter
SonarSource,sonarqube,9000,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8300,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7900,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6800,https://github.com/facebook/pyre-check
detekt,detekt,6200,https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,5500,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5500,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5300,https://github.com/pylint-dev/pylint
pmd,pmd,4800,https://github.com/pmd/pmd
simplecov-ruby,simplecov,4800,https://github.com/simplecov-ruby/simplecov
kucherenko,jscpd,4700,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3100,https://github.com/htmlhint/HTMLHint
crate-ci,typos,2600,https://github.com/crate-ci/typos
