username,repo_name,stars,repo_url
ovity,octotree,22800,https://github.com/ovity/octotree
gitpod-io,gitpod,12800,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7900,https://github.com/reviewdog/reviewdog
Codium-ai,pr-agent,5800,https://github.com/Codium-ai/pr-agent
danger,danger,5400,https://github.com/danger/danger
danger,danger-js,5300,https://github.com/danger/danger-js
joho,awesome-code-review,4300,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2400,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2300,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2100,https://github.com/crev-dev/cargo-crev
houndci,hound,2000,https://github.com/houndci/hound
mbj,mutant,1900,https://github.com/mbj/mutant
Tencent,CodeAnalysis,1600,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1600,https://github.com/reviewboard/reviewboard
mattzcarey,code-review-gpt,1600,https://github.com/mattzcarey/code-review-gpt
coderabbitai,ai-pr-reviewer,1500,https://github.com/coderabbitai/ai-pr-reviewer
ryanmcdermott,code-review-tips,1500,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1300,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,965,https://github.com/jiangsir404/Audit-Learning
