username,repo_name,stars,repo_url
vercel,next.js,126000,https://github.com/vercel/next.js
rust-lang,rust,97400,https://github.com/rust-lang/rust
sveltejs,svelte,78700,https://github.com/sveltejs/svelte
webpack,webpack,64599,https://github.com/webpack/webpack
FuelLabs,sway,62700,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55200,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,49000,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43400,https://github.com/parcel-bundler/parcel
babel,babel,43200,https://github.com/babel/babel
evanw,esbuild,38000,https://github.com/evanw/esbuild
vlang,v,35700,https://github.com/vlang/v
ziglang,zig,34200,https://github.com/ziglang/zig
typst,typst,33100,https://github.com/typst/typst
markedjs,marked,32900,https://github.com/markedjs/marked
carbon-language,carbon-lang,32200,https://github.com/carbon-language/carbon-lang
swc-project,swc,31000,https://github.com/swc-project/swc
vercel,pkg,24300,https://github.com/vercel/pkg
v8,v8,23300,https://github.com/v8/v8
oracle,graal,20300,https://github.com/oracle/graal
crystal-lang,crystal,19400,https://github.com/crystal-lang/crystal
