username,repo_name,stars,repo_url
crystal-lang,crystal,19400,https://github.com/crystal-lang/crystal
kemalcr,kemal,3600,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3400,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,1800,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1700,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,860,https://github.com/drujensen/fib
amethyst-framework,amethyst,649,https://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,640,https://github.com/hanabi1224/Programming-Language-Benchmarks
owasp-noir,noir,559,https://github.com/owasp-noir/noir
askn,crystal-by-example,549,https://github.com/askn/crystal-by-example
crystal-ameba,ameba,517,https://github.com/crystal-ameba/ameba
crystal-community,icr,504,https://github.com/crystal-community/icr
will,crystal-pg,463,https://github.com/will/crystal-pg
elbywan,crystalline,436,https://github.com/elbywan/crystalline
imdrasil,jennifer.cr,418,https://github.com/imdrasil/jennifer.cr
martenframework,marten,415,https://github.com/martenframework/marten
vim-crystal,vim-crystal,413,https://github.com/vim-crystal/vim-crystal
